date,snapshot_type,security,jq_quantity,alignment_status
2026-05-12,END_OF_DAY,600455.XSHG,1300,JQ_POSITION
2026-05-12,END_OF_DAY,600493.XSHG,2600,JQ_POSITION
2026-05-12,END_OF_DAY,600561.XSHG,5600,JQ_POSITION
2026-05-12,END_OF_DAY,600697.XSHG,3100,JQ_POSITION
2026-05-13,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-13,END_OF_DAY,300417.XSHE,2600,JQ_POSITION
2026-05-13,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-13,END_OF_DAY,300665.XSHE,4400,JQ_POSITION
2026-05-13,END_OF_DAY,300929.XSHE,2700,JQ_POSITION
2026-05-13,END_OF_DAY,301098.XSHE,4100,JQ_POSITION
2026-05-13,END_OF_DAY,301167.XSHE,2200,JQ_POSITION
2026-05-13,END_OF_DAY,600455.XSHG,1300,JQ_POSITION
2026-05-13,END_OF_DAY,600493.XSHG,2600,JQ_POSITION
2026-05-13,END_OF_DAY,600561.XSHG,5600,JQ_POSITION
2026-05-13,END_OF_DAY,600697.XSHG,3100,JQ_POSITION
2026-05-14,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-14,END_OF_DAY,300417.XSHE,3900,JQ_POSITION
2026-05-14,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-14,END_OF_DAY,300535.XSHE,1000,JQ_POSITION
2026-05-14,END_OF_DAY,300665.XSHE,6500,JQ_POSITION
2026-05-14,END_OF_DAY,300929.XSHE,4200,JQ_POSITION
2026-05-14,END_OF_DAY,301098.XSHE,5500,JQ_POSITION
2026-05-14,END_OF_DAY,301167.XSHE,3400,JQ_POSITION
2026-05-14,END_OF_DAY,600455.XSHG,2000,JQ_POSITION
2026-05-14,END_OF_DAY,600493.XSHG,5400,JQ_POSITION
2026-05-14,END_OF_DAY,600561.XSHG,8500,JQ_POSITION
2026-05-14,END_OF_DAY,600697.XSHG,4800,JQ_POSITION
2026-05-15,END_OF_DAY,300405.XSHE,5600,JQ_POSITION
2026-05-15,END_OF_DAY,300417.XSHE,3900,JQ_POSITION
2026-05-15,END_OF_DAY,300500.XSHE,1600,JQ_POSITION
2026-05-15,END_OF_DAY,300535.XSHE,1000,JQ_POSITION
2026-05-15,END_OF_DAY,300665.XSHE,6500,JQ_POSITION
2026-05-15,END_OF_DAY,300929.XSHE,4200,JQ_POSITION
2026-05-15,END_OF_DAY,301098.XSHE,5500,JQ_POSITION
2026-05-15,END_OF_DAY,301167.XSHE,3400,JQ_POSITION
